Station (alphabetical by borough),2013,2014,2015,2016,2017,2018,2017-2018 Change,2017-2018 Change2,2018 Rank
The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx
Dyckman St,"2,112,706","2,158,170","2,244,154","2,135,271","2,165,366","2,037,425","-127,941",-5.9%,230
East Broadway,"4,208,654","4,379,909","4,576,662","4,752,739","4,458,909","4,216,327","-242,582",-5.4%,112
Franklin St,"1,703,889","1,745,841","1,731,354","1,782,203","1,700,180","1,757,424","+57,244",+3.4%,262
Fulton St,"18,721,694","20,102,397","21,671,684","25,162,937","26,838,473","27,719,115","+880,642",+3.3%,5
Grand    Central-42 St,"44,893,301","46,074,652","46,737,564","46,121,509","44,928,488","45,207,849","+279,361",+0.6%,2
Grand St,"7,994,060","8,131,543","8,010,864","7,942,505","7,653,408","7,187,070","-466,338",-6.1%,55
Harlem-148 St,"1,171,372","1,209,633","1,269,910","1,220,407","1,209,846","1,232,448","+22,602",+1.9%,325
Houston St,"4,510,538","4,562,690","4,377,409","4,375,993","4,326,280","4,488,886","+162,606",+3.8%,106
Inwood-207 St,"2,897,438","2,981,271","3,068,931","2,904,915","2,954,523","2,796,626","-157,897",-5.3%,172
Lexington Av    /59 St,"21,282,767","21,557,198","21,407,792","21,000,635","17,888,188","16,955,204","-932,984",-5.2%,14
Lexington    Av-53 St  /51 St,"20,262,110","20,513,370","20,479,923","19,929,405","18,940,774","18,585,755","-355,019",-1.9%,10
Lexington    Av-63 St,"4,462,467","4,479,963","4,718,159","5,033,950","6,389,408","6,506,078","+116,670",+1.8%,63
Marble    Hill-225 St,"1,725,406","1,846,582","1,809,998","1,777,035","1,726,646","1,686,237","-40,409",-2.3%,269
Prince St,"5,209,433","5,311,765","5,386,641","5,314,922","4,990,346","5,142,727","+152,381",+3.1%,84
Rector St,"3,398,383","3,393,420","3,042,815","2,805,381","2,861,772","2,764,454","-97,318",-3.4%,175
Rector St,"1,524,110","1,116,833","1,896,968","2,038,348","2,213,971","2,154,295","-59,676",-2.7%,218
Roosevelt    Island,"1,948,925","1,870,476","1,966,493","2,110,471","2,361,627","2,269,432","-92,195",-3.9%,202
South Ferry    /Whitehall St,"6,192,660","7,116,897","8,750,364","9,009,136","10,205,836","10,275,268","+69,432",+0.7%,29
Spring St,"4,123,703","4,169,799","3,804,403","3,792,870","3,701,740","3,654,673","-47,067",-1.3%,130
Spring St,"3,874,428","3,965,206","3,782,314","3,744,702","3,637,863","3,853,792","+215,929",+5.9%,126
Times Sq-42    St        /42 St,"63,617,614","65,948,730","66,359,208","64,531,511","64,815,739","65,060,656","+244,917",+0.4%,1
Wall St,"7,473,489","7,845,023","7,650,853","7,689,447","6,935,020","6,452,733","-482,287",-7.0%,64
Wall St,"7,231,884","7,437,325","6,708,745","6,148,384","5,704,122","5,646,207","-57,915",-1.0%,76
West 4    St-Washington Sq,"13,533,369","13,942,101","14,147,148","13,955,067","13,849,130","13,446,383","-402,747",-2.9%,21
WTC Cortland,0,0,0,0,,"1,245,455","+1,245,455",+100.0%,324
Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens,Queens
103 St-Corona Plaza,"6,314,870","6,464,627","6,527,196","6,504,644","6,498,237","6,319,564","-178,673",-2.7%,66
