Station (alphabetical by borough),2013,2014,2015,2016,2017,2018,2017-2018 Change,2017-2018 Change2,2018 Rank
The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx
Queens Plaza,"2,855,006","3,005,223","3,101,888","3,124,028","3,374,948","3,886,574","+511,626",+15.2%,124
Queensboro    Plaza,"3,569,290","3,785,260","3,773,168","4,105,500","4,566,287","5,079,051","+512,764",+11.2%,88
Rockaway Blvd,"2,637,100","2,575,171","1,729,268","2,382,252","2,371,645","2,336,304","-35,341",-1.5%,198
Rockaway    Park-Beach 116 St,"135,956","231,407","255,542","250,220","235,691","240,483","+4,792",+2.0%,419
Seneca Av,"711,011","755,026","842,069","854,251","454,373","565,714","+111,341",+24.5%,400
Steinway St,"4,798,179","4,807,448","4,779,346","4,703,321","4,733,777","5,075,623","+341,846",+7.2%,89
Sutphin Blvd,"1,550,363","1,468,419","1,506,607","1,414,334","1,338,831","1,303,795","-35,036",-2.6%,317
Sutphin    Blvd-Archer Av-JFK Airport,"7,303,038","7,633,725","7,767,728","7,904,869","7,457,153","7,282,128","-175,025",-2.3%,52
Vernon    Blvd-Jackson Av,"3,726,974","4,169,876","4,462,652","4,877,185","4,821,191","4,493,326","-327,865",-6.8%,105
Woodhaven    Blvd,"1,398,536","1,505,920","1,551,590","1,513,298","1,512,676","1,370,889","-141,787",-9.4%,311
Woodhaven    Blvd,"7,157,254","7,125,205","7,120,037","7,144,921","6,871,409","6,509,386","-362,023",-5.3%,62
Woodside-61    St,"5,330,760","5,356,621","5,432,682","5,511,564","5,457,171","5,282,486","-174,685",-3.2%,79
Brooklyn,"372,392,182","382,724,843","387,548,598","384,540,220","379,372,550","370,231,302","-9,141,248",-2.4%,
Bronx,"149,111,695","152,510,555","152,317,861","153,079,012","149,220,838","139,238,932","-9,981,906",-6.7%,
Manhattan,"940,342,922","965,303,064","970,332,468","966,394,667","955,572,737","936,516,980","-19,055,757",-2.0%,
Queens,"245,692,630","250,683,329","252,328,123","252,780,951","243,113,483","234,085,767","-9,027,716",-3.7%,
Systemwide    Adjustment,"16,285","65,830","38,369","19,950","86,999","-12,579","-99,578",,
System Total,"1,707,555,714","1,751,287,621","1,762,565,419","1,756,814,800","1,727,366,607","1,680,060,402","-47,306,205",-2.7%,
